epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_macro_f1,test_mi_loss,train_acc,train_loss,train_mi_loss,val_acc,val_bal_acc,val_loss,val_mi_loss
,0.0004623919037987156,809,,,,,,,,,,,,,,
26,,809,,,,,,,,0.953125,0.626409649848938,0.4968082904815674,,,,
,0.0004623919037987156,819,,,,,,,,,,,,,,
26,,819,,,,,,,,0.953125,0.5939929485321045,0.47218114137649536,,,,
,0.0004623919037987156,829,,,,,,,,,,,,,,
26,,829,,,,,,,,0.921875,0.6131414175033569,0.4666087031364441,,,,
26,,836,,,,,,,,,,,0.6085919141769409,0.2218664139509201,1.4918626546859741,0.3590131998062134
,0.000457686799207373,839,,,,,,,,,,,,,,
27,,839,,,,,,,,1.0,0.5388017892837524,0.45942795276641846,,,,
,0.000457686799207373,849,,,,,,,,,,,,,,
27,,849,,,,,,,,0.96875,0.5545781850814819,0.44532227516174316,,,,
,0.000457686799207373,859,,,,,,,,,,,,,,
27,,859,,,,,,,,1.0,0.526730477809906,0.45795783400535583,,,,
27,,867,,,,,,,,,,,0.6396181583404541,0.24269084632396698,1.476548671722412,0.35420310497283936
,0.00045273170610779967,869,,,,,,,,,,,,,,
28,,869,,,,,,,,0.9375,0.5905035734176636,0.468271940946579,,,,
,0.00045273170610779967,879,,,,,,,,,,,,,,
28,,879,,,,,,,,0.9375,0.5832626819610596,0.4716683328151703,,,,
,0.00045273170610779967,889,,,,,,,,,,,,,,
28,,889,,,,,,,,0.96875,0.5536292195320129,0.4523124694824219,,,,
28,,898,,,,,,,,,,,0.620525062084198,0.23345033824443817,1.5398696660995483,0.3535367250442505
,0.0004475326615176639,899,,,,,,,,,,,,,,
29,,899,,,,,,,,0.984375,0.5308255553245544,0.43597543239593506,,,,
,0.0004475326615176639,909,,,,,,,,,,,,,,
29,,909,,,,,,,,0.984375,0.5525553822517395,0.46625587344169617,,,,
,0.0004475326615176639,919,,,,,,,,,,,,,,
29,,919,,,,,,,,0.984375,0.5554683804512024,0.38844186067581177,,,,
,0.0004475326615176639,929,,,,,,,,,,,,,,
29,,929,,,,,,,,1.0,0.507361888885498,0.29551488161087036,,,,
29,,929,,,,,,,,,,,0.6324582099914551,0.2511352002620697,1.501646637916565,0.34302130341529846
,0.0004420959996719472,939,,,,,,,,,,,,,,
30,,939,,,,,,,,0.96875,0.5642406940460205,0.4136218726634979,,,,
,0.0004420959996719472,949,,,,,,,,,,,,,,
30,,949,,,,,,,,0.96875,0.5631518363952637,0.46441158652305603,,,,
,0.0004420959996719472,959,,,,,,,,,,,,,,
30,,959,,,,,,,,0.984375,0.5397714376449585,0.44984170794487,,,,
30,,960,,,,,,,,,,,0.6372315287590027,0.22692912817001343,1.4616162776947021,0.3369644582271576
,0.0004364283443056552,969,,,,,,,,,,,,,,
31,,969,,,,,,,,1.0,0.5345870852470398,0.4585293233394623,,,,
,0.0004364283443056552,979,,,,,,,,,,,,,,
31,,979,,,,,,,,0.984375,0.561120331287384,0.45613956451416016,,,,
,0.0004364283443056552,989,,,,,,,,,,,,,,
31,,989,,,,,,,,0.984375,0.5480667948722839,0.44592055678367615,,,,
31,,991,,,,,,,,,,,0.6300715804100037,0.22497247159481049,1.5293487310409546,0.33455225825309753
