epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_loss_causal,test_loss_diff,test_loss_kl,test_loss_recon,test_loss_task,test_macro_f1,train_acc,train_bal_acc,train_loss,train_loss_causal,train_loss_diff,train_loss_kl,train_loss_recon,train_loss_task,val_acc,val_bal_acc,val_loss,val_loss_causal,val_loss_diff,val_loss_kl,val_loss_recon,val_loss_task,warmup/gamma_diff,warmup/gamma_kl,warmup/gamma_recon
14,,459,,,,,,,,,,,,0.65625,,1.9592225551605225,0.0,0.0,0.0,0.0,1.9592225551605225,,,,,,,,,0.25,1.0,0.75
14,,464,,,,,,,,,,,,,,,,,,,,0.5322195887565613,0.3221166729927063,2.6643364429473877,0.0,0.0,0.0,0.0,2.6643364429473877,,,
14,,464,,,,,,,,,,,,,0.480934202671051,,,,,,,,,,,,,,,,,
,0.0004962399188705217,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,469,,,,,,,,,,,,0.6875,,2.3541884422302246,0.0,0.0,0.0,0.0,2.3541884422302246,,,,,,,,,0.30000001192092896,1.0,0.800000011920929
,0.0004962399188705217,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,479,,,,,,,,,,,,0.671875,,2.2869393825531006,0.0,0.0,0.0,0.0,2.2869393825531006,,,,,,,,,0.30000001192092896,1.0,0.800000011920929
,0.0004962399188705217,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,489,,,,,,,,,,,,0.53125,,2.2609829902648926,0.0,0.0,0.0,0.0,2.2609829902648926,,,,,,,,,0.30000001192092896,1.0,0.800000011920929
15,,495,,,,,,,,,,,,,,,,,,,,0.5584725737571716,0.2757716476917267,2.7870476245880127,0.0,0.0,0.0,0.0,2.7870476245880127,,,
15,,495,,,,,,,,,,,,,0.5050766468048096,,,,,,,,,,,,,,,,,
,0.0004945915311816171,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,499,,,,,,,,,,,,0.546875,,2.1848630905151367,0.0,0.0,0.0,0.0,2.1848630905151367,,,,,,,,,0.3499999940395355,1.0,0.8500000238418579
,0.0004945915311816171,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,509,,,,,,,,,,,,0.75,,2.1309940814971924,0.0,0.0,0.0,0.0,2.1309940814971924,,,,,,,,,0.3499999940395355,1.0,0.8500000238418579
,0.0004945915311816171,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,519,,,,,,,,,,,,0.625,,2.2938263416290283,0.0,0.0,0.0,0.0,2.2938263416290283,,,,,,,,,0.3499999940395355,1.0,0.8500000238418579
16,,526,,,,,,,,,,,,,,,,,,,,0.5584725737571716,0.24166026711463928,2.7838165760040283,0.0,0.0,0.0,0.0,2.7838165760040283,,,
16,,526,,,,,,,,,,,,,0.5615131258964539,,,,,,,,,,,,,,,,,
,0.0004926481922533092,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,529,,,,,,,,,,,,0.671875,,2.126838207244873,0.0,0.0,0.0,0.0,2.126838207244873,,,,,,,,,0.4000000059604645,1.0,0.8999999761581421
,0.0004926481922533092,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,539,,,,,,,,,,,,0.734375,,2.4146533012390137,0.0,0.0,0.0,0.0,2.4146533012390137,,,,,,,,,0.4000000059604645,1.0,0.8999999761581421
,0.0004926481922533092,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,549,,,,,,,,,,,,0.703125,,2.2389097213745117,0.0,0.0,0.0,0.0,2.2389097213745117,,,,,,,,,0.4000000059604645,1.0,0.8999999761581421
17,,557,,,,,,,,,,,,,,,,,,,,0.4295942783355713,0.28135207295417786,2.868837594985962,0.0,0.0,0.0,0.0,2.868837594985962,,,
17,,557,,,,,,,,,,,,,0.5266947150230408,,,,,,,,,,,,,,,,,
,0.0004904122697447341,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,559,,,,,,,,,,,,0.578125,,2.1434714794158936,0.0,0.0,0.0,0.0,2.1434714794158936,,,,,,,,,0.44999998807907104,1.0,0.949999988079071
,0.0004904122697447341,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,569,,,,,,,,,,,,0.609375,,2.1730117797851562,0.0,0.0,0.0,0.0,2.1730117797851562,,,,,,,,,0.44999998807907104,1.0,0.949999988079071
,0.0004904122697447341,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,579,,,,,,,,,,,,0.765625,,1.9505441188812256,0.0,0.0,0.0,0.0,1.9505441188812256,,,,,,,,,0.44999998807907104,1.0,0.949999988079071
18,,588,,,,,,,,,,,,,,,,,,,,0.560859203338623,0.2776317894458771,2.72322416305542,0.0,0.0,0.0,0.0,2.72322416305542,,,
18,,588,,,,,,,,,,,,,0.5980053544044495,,,,,,,,,,,,,,,,,
,0.00048788648778305075,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,589,,,,,,,,,,,,0.640625,,2.2480111122131348,0.0,0.0,0.0,0.0,2.2480111122131348,,,,,,,,,0.5,1.0,1.0
,0.00048788648778305075,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,599,,,,,,,,,,,,0.6875,,2.205383777618408,0.0,0.0,0.0,0.0,2.205383777618408,,,,,,,,,0.5,1.0,1.0
,0.00048788648778305075,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,609,,,,,,,,,,,,0.71875,,1.7739225625991821,0.0,0.0,0.0,0.0,1.7739225625991821,,,,,,,,,0.5,1.0,1.0
,0.00048788648778305075,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,619,,,,,,,,,,,,0.7222222089767456,,2.06156325340271,0.0,0.0,0.0,0.0,2.06156325340271,,,,,,,,,0.5,1.0,1.0
19,,619,,,,,,,,,,,,,,,,,,,,0.5035799741744995,0.281303346157074,2.982642650604248,0.0,0.0,0.0,0.0,2.982642650604248,,,
